,Index,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BBh,SO,SLG,OPS,PTS,Type,Link,IP,K,W,SV,ERA,WHIP,ER,BB,G,GS,L,CG,K9,ID,PlayerInfo,Name,Last,Team,Positions,Status,Projections,Rank,Player,RTS,NFBC,ADP,Positions_adp,PlayerInfo_adp,PhotoURL,Player_notes,Notes,PlayerInfo_notes,Name_notes,Last_notes,Team_notes,Positions_notes,Status_notes,Description,vsADP,PtsRank
29,Hunter Brown_HOU,,,20,,,,,154,,,,,,,389,P,https://www.fantasypros.com/mlb/players/hunter-brown.php,180.1,196.0,12.0,0.0,3.51,1.18,70.0,59.0,31.0,31.0,9.0,0.0,9.79,hunter-brown,Hunter Brown (HOU - SP),Hunter Brown,Brown,HOU,SP,,12-9-0SV|3.51|1.18|9.79K9,30,Hunter Brown (HOU - SP),29,32,30.0,SP,Hunter Brown (HOU - SP),https://images.fantasypros.com/images/players/mlb/44176/headshot/70x70.png,Hunter Brown (SP - HOU),,Hunter Brown (HOU - SP),Hunter Brown,Brown,HOU,SP,,"12-9-0SV|3.51|1.18|9.79K9
",0.0,30.0
30,James Wood_WSH,545.0,85.0,26,77.0,17.0,0.258,0.346,141,30.0,2.0,73.0,181.0,0.46,0.807,327,H,https://www.fantasypros.com/mlb/players/james-wood.php,,,,,,,,,,,,,,james-wood,"James Wood (WSH - DH,OF)",James Wood,Wood,WSH,"DH,OF",,.258|85R|26HR|77RBI|17SB,31,"James Wood (WSH - DH,OF)",36,28,32.0,"DH,OF","James Wood (WSH - DH,OF)",https://images.fantasypros.com/images/players/mlb/44720/headshot/70x70.png,"James Wood (LF,DH - WSH)",,"James Wood (WSH - DH,OF)",James Wood,Wood,WSH,"DH,OF",,".258|85R|26HR|77RBI|17SB
",1.0,86.0
31,Yordan Alvarez_HOU,483.0,86.0,31,86.0,4.0,0.294,0.383,142,27.0,1.0,70.0,95.0,0.554,0.937,423,H,https://www.fantasypros.com/mlb/players/yordan-alvarez.php,,,,,,,,,,,,,,yordan-alvarez,"Yordan Alvarez (HOU - DH,OF)",Yordan Alvarez,Alvarez,HOU,"DH,OF",,.294|86R|31HR|86RBI|4SB,32,"Yordan Alvarez (HOU - DH,OF)",26,39,32.0,"DH,OF","Yordan Alvarez (HOU - DH,OF)",https://images.fantasypros.com/images/players/mlb/6461/headshot/70x70.png,"Yordan Alvarez (LF,DH - HOU)","Yordan Alvarez is shaping up as one of the more polarizing draft-day decisions in 2026 fantasy leagues. After an injury-marred 2025 season burned managers who invested a first- or early second-round pick, Alvarez now projects as a rebound bat with elite per-game production when healthy. Projection systems still view him as a middle-of-the-order force capable of strong four-category output, supported by his consistently elite plate skills and long track record of hard contact. The main complication is positional flexibility: Alvarez is expected to qualify only at DH in most formats, effectively locking him into a UTIL role and increasing roster rigidity. That added risk will likely suppress his ADP, but entering his age-29 season, the underlying talent suggests a strong bounce-back is well within reach. If the discount reflects health concerns rather than skill erosion, Alvarez becomes a calculated upside play worth considering at the right price.","Yordan Alvarez (HOU - DH,OF)",Yordan Alvarez,Alvarez,HOU,"DH,OF",,".294|86R|31HR|86RBI|4SB
Yordan Alvarez is shaping up as one of the more polarizing draft-day decisions in 2026 fantasy leagues. After an injury-marred 2025 season burned managers who invested a first- or early second-round pick, Alvarez now projects as a rebound bat with elite per-game production when healthy. Projection systems still view him as a middle-of-the-order force capable of strong four-category output, supported by his consistently elite plate skills and long track record of hard contact. The main complication is positional flexibility: Alvarez is expected to qualify only at DH in most formats, effectively locking him into a UTIL role and increasing roster rigidity. That added risk will likely suppress his ADP, but entering his age-29 season, the underlying talent suggests a strong bounce-back is well within reach. If the discount reflects health concerns rather than skill erosion, Alvarez becomes a calculated upside play worth considering at the right price.",0.0,13.0
32,Zach Neto_LAA,567.0,85.0,27,75.0,28.0,0.252,0.306,143,30.0,1.0,44.0,153.0,0.45,0.756,337,H,https://www.fantasypros.com/mlb/players/zach-neto.php,,,,,,,,,,,,,,zach-neto,Zach Neto (LAA - SS),Zach Neto,Neto,LAA,SS,,.252|85R|27HR|75RBI|28SB,33,Zach Neto (LAA - SS),35,30,32.0,SS,Zach Neto (LAA - SS),https://images.fantasypros.com/images/players/mlb/46294/headshot/70x70.png,Zach Neto (SS - LAA),,Zach Neto (LAA - SS),Zach Neto,Neto,LAA,SS,,".252|85R|27HR|75RBI|28SB
",-1.0,79.0
33,Manny Machado_SD,570.0,77.0,26,86.0,9.0,0.262,0.323,149,27.0,1.0,51.0,122.0,0.456,0.779,360,H,https://www.fantasypros.com/mlb/players/manny-machado.php,,,,,,,,,,,,,,manny-machado,"Manny Machado (SD - 3B,DH)",Manny Machado,Machado,SD,"3B,DH",,.262|77R|26HR|86RBI|9SB,34,"Manny Machado (SD - 3B,DH)",34,33,34.0,3B,Manny Machado (SD - 3B),https://images.fantasypros.com/images/players/mlb/3778/headshot/70x70.png,"Manny Machado (3B,DH - SD)",,"Manny Machado (SD - 3B,DH)",Manny Machado,Machado,SD,"3B,DH",,".262|77R|26HR|86RBI|9SB
",0.0,56.0
34,Bryan Woo_SEA,,,24,,,,,159,,,,,,,417,P,https://www.fantasypros.com/mlb/players/bryan-woo.php,188.1,189.0,13.0,0.0,3.43,1.06,72.0,41.0,31.0,31.0,9.0,0.0,9.04,bryan-woo,Bryan Woo (SEA - SP),Bryan Woo,Woo,SEA,SP,,13-9-0SV|3.43|1.06|9.04K9,35,Bryan Woo (SEA - SP),31,41,36.0,SP,Bryan Woo (SEA - SP),https://images.fantasypros.com/images/players/mlb/47011/headshot/70x70.png,Bryan Woo (SP - SEA),,Bryan Woo (SEA - SP),Bryan Woo,Woo,SEA,SP,,"13-9-0SV|3.43|1.06|9.04K9
",1.0,15.0
35,Logan Gilbert_SEA,,,21,,,,,137,,,,,,,385,P,https://www.fantasypros.com/mlb/players/logan-gilbert.php,165.5,183.0,11.0,0.0,3.42,1.06,63.0,38.0,29.0,29.0,8.0,0.0,9.95,logan-gilbert,Logan Gilbert (SEA - SP),Logan Gilbert,Gilbert,SEA,SP,,11-8-0SV|3.42|1.06|9.95K9,36,Logan Gilbert (SEA - SP),38,34,36.0,SP,Logan Gilbert (SEA - SP),https://images.fantasypros.com/images/players/mlb/7453/headshot/70x70.png,Logan Gilbert (SP - SEA),,Logan Gilbert (SEA - SP),Logan Gilbert,Gilbert,SEA,SP,,"11-8-0SV|3.42|1.06|9.95K9
",0.0,32.0
36,Chris Sale_ATL,,,18,,,,,136,,,,,,,400,P,https://www.fantasypros.com/mlb/players/chris-sale.php,163.5,198.0,12.0,0.0,3.29,1.1,60.0,43.0,27.0,27.0,7.0,0.0,10.9,chris-sale,Chris Sale (ATL - SP),Chris Sale,Sale,ATL,SP,,12-7-0SV|3.29|1.10|10.90K9,37,Chris Sale (ATL - SP),37,35,36.0,SP,Chris Sale (ATL - SP),https://images.fantasypros.com/images/players/mlb/3207/headshot/70x70.png,Chris Sale (SP - ATL),,Chris Sale (ATL - SP),Chris Sale,Sale,ATL,SP,,"12-7-0SV|3.29|1.10|10.90K9
",-1.0,23.0
37,Edwin Diaz_LAD,,,7,,,,,49,,,,,,,372,P,https://www.fantasypros.com/mlb/players/edwin-diaz.php,67.9,94.0,4.0,37.0,3.02,1.08,23.0,24.0,67.0,0.0,3.0,0.0,12.46,edwin-diaz,Edwin Diaz (LAD - RP),Edwin Diaz,Diaz,LAD,RP,,4-3-37SV|3.02|1.08|12.46K9,38,Edwin Diaz (LAD - RP),43,36,40.0,RP,Edwin Diaz (LAD - RP),https://images.fantasypros.com/images/players/mlb/5996/headshot/70x70.png,Edwin Diaz (RP - LAD),,Edwin Diaz (LAD - RP),Edwin Diaz,Diaz,LAD,RP,,"4-3-37SV|3.02|1.08|12.46K9
",2.0,44.0
38,Andres Munoz_SEA,,,5,,,,,47,,,,,,,322,P,https://www.fantasypros.com/mlb/players/andres-munoz-p.php,64.4,81.0,4.0,31.0,2.87,1.13,21.0,26.0,63.0,0.0,3.0,0.0,11.32,andres-munoz-p,Andres Munoz (SEA - RP),Andres Munoz,Munoz,SEA,RP,,4-3-31SV|2.87|1.13|11.32K9,39,Andres Munoz (SEA - RP),48,37,42.0,RP,Andres Munoz (SEA - RP),https://images.fantasypros.com/images/players/mlb/24281/headshot/70x70.png,Andres Munoz (RP - SEA),,Andres Munoz (SEA - RP),Andres Munoz,Munoz,SEA,RP,,"4-3-31SV|2.87|1.13|11.32K9
",3.0,94.0
39,Matt Olson_ATL,581.0,90.0,30,91.0,1.0,0.25,0.341,145,30.0,1.0,80.0,161.0,0.461,0.802,371,H,https://www.fantasypros.com/mlb/players/matt-olson.php,,,,,,,,,,,,,,matt-olson,Matt Olson (ATL - 1B),Matt Olson,Olson,ATL,1B,,.250|90R|30HR|91RBI|1SB,40,Matt Olson (ATL - 1B),39,46,42.0,1B,Matt Olson (ATL - 1B),https://images.fantasypros.com/images/players/mlb/5718/headshot/70x70.png,Matt Olson (1B - ATL),,Matt Olson (ATL - 1B),Matt Olson,Olson,ATL,1B,,".250|90R|30HR|91RBI|1SB
",2.0,46.0
40,Bryce Harper_PHI,539.0,86.0,27,89.0,10.0,0.271,0.362,146,32.0,1.0,77.0,134.0,0.489,0.851,395,H,https://www.fantasypros.com/mlb/players/bryce-harper.php,,,,,,,,,,,,,,bryce-harper,Bryce Harper (PHI - 1B),Bryce Harper,Harper,PHI,1B,,.271|86R|27HR|89RBI|10SB,41,Bryce Harper (PHI - 1B),41,44,42.0,1B,Bryce Harper (PHI - 1B),https://images.fantasypros.com/images/players/mlb/4293/headshot/70x70.png,Bryce Harper (1B - PHI),,Bryce Harper (PHI - 1B),Bryce Harper,Harper,PHI,1B,,".271|86R|27HR|89RBI|10SB
",1.0,25.0
41,Jacob deGrom_TEX,,,22,,,,,135,,,,,,,390,P,https://www.fantasypros.com/mlb/players/jacob-degrom.php,165.9,186.0,11.0,0.0,3.4,1.05,63.0,39.0,29.0,29.0,8.0,0.0,10.09,jacob-degrom,Jacob deGrom (TEX - SP),Jacob deGrom,deGrom,TEX,SP,,11-8-0SV|3.40|1.05|10.09K9,42,Jacob deGrom (TEX - SP),44,42,43.0,SP,Jacob deGrom (TEX - SP),https://images.fantasypros.com/images/players/mlb/4850/headshot/70x70.png,Jacob deGrom (SP - TEX),,Jacob deGrom (TEX - SP),Jacob deGrom,deGrom,TEX,SP,,"11-8-0SV|3.40|1.05|10.09K9
",1.0,29.0
42,Mason Miller_SD,,,6,,,,,41,,,,,,,375,P,https://www.fantasypros.com/mlb/players/mason-miller.php,67.2,105.0,4.0,32.0,2.46,0.98,18.0,25.0,63.0,0.0,2.0,0.0,14.06,mason-miller,Mason Miller (SD - RP),Mason Miller,Miller,SD,RP,,4-2-32SV|2.46|0.98|14.06K9,43,Mason Miller (SD - RP),50,38,44.0,RP,Mason Miller (SD - RP),https://images.fantasypros.com/images/players/mlb/45221/headshot/70x70.png,Mason Miller (RP - SD),,Mason Miller (SD - RP),Mason Miller,Miller,SD,RP,,"4-2-32SV|2.46|0.98|14.06K9
",1.0,39.0
43,Max Fried_NYY,,,18,,,,,163,,,,,,,386,P,https://www.fantasypros.com/mlb/players/max-fried.php,184.8,175.0,13.0,0.0,3.32,1.18,68.0,54.0,30.0,30.0,8.0,0.0,8.52,max-fried,Max Fried (NYY - SP),Max Fried,Fried,NYY,SP,,13-8-0SV|3.32|1.18|8.52K9,44,Max Fried (NYY - SP),32,58,45.0,SP,Max Fried (NYY - SP),https://images.fantasypros.com/images/players/mlb/4729/headshot/70x70.png,Max Fried (SP - NYY),,Max Fried (NYY - SP),Max Fried,Fried,NYY,SP,,"13-8-0SV|3.32|1.18|8.52K9
",1.0,31.0
44,Hunter Greene_CIN,,,26,,,,,143,,,,,,,393,P,https://www.fantasypros.com/mlb/players/hunter-greene.php,176.0,210.0,11.0,0.0,3.76,1.14,74.0,58.0,30.0,30.0,9.0,0.0,10.74,hunter-greene,Hunter Greene (CIN - SP),Hunter Greene,Greene,CIN,SP,,11-9-0SV|3.76|1.14|10.74K9,45,Hunter Greene (CIN - SP),47,45,46.0,SP,Hunter Greene (CIN - SP),https://images.fantasypros.com/images/players/mlb/6871/headshot/70x70.png,Hunter Greene (SP - CIN),,Hunter Greene (CIN - SP),Hunter Greene,Greene,CIN,SP,,"11-9-0SV|3.76|1.14|10.74K9
",1.0,27.0
45,Rafael Devers_SF,563.0,86.0,30,89.0,2.0,0.251,0.346,141,28.0,1.0,82.0,161.0,0.465,0.81,366,H,https://www.fantasypros.com/mlb/players/rafael-devers.php,,,,,,,,,,,,,,rafael-devers,"Rafael Devers (SF - 1B,3B,DH)",Rafael Devers,Devers,SF,"1B,3B,DH",,.251|86R|30HR|89RBI|2SB,46,"Rafael Devers (SF - 1B,3B,DH)",42,51,46.0,"1B,DH","Rafael Devers (SF - 1B,DH)",https://images.fantasypros.com/images/players/mlb/5175/headshot/70x70.png,"Rafael Devers (3B,DH,1B - SF)",,"Rafael Devers (SF - 1B,3B,DH)",Rafael Devers,Devers,SF,"1B,3B,DH",,".251|86R|30HR|89RBI|2SB
",0.0,51.0
46,Logan Webb_SF,,,16,,,,,187,,,,,,,402,P,https://www.fantasypros.com/mlb/players/logan-webb.php,196.7,185.0,13.0,0.0,3.35,1.19,73.0,46.0,31.0,31.0,10.0,0.0,8.46,logan-webb,Logan Webb (SF - SP),Logan Webb,Webb,SF,SP,,13-10-0SV|3.35|1.19|8.46K9,47,Logan Webb (SF - SP),40,57,48.0,SP,Logan Webb (SF - SP),https://images.fantasypros.com/images/players/mlb/8146/headshot/70x70.png,Logan Webb (SP - SF),,Logan Webb (SF - SP),Logan Webb,Webb,SF,SP,,"13-10-0SV|3.35|1.19|8.46K9
",1.0,21.0
47,Brent Rooker_ATH,568.0,87.0,32,94.0,6.0,0.26,0.332,148,31.0,2.0,61.0,162.0,0.49,0.821,368,H,https://www.fantasypros.com/mlb/players/brent-rooker.php,,,,,,,,,,,,,,brent-rooker,"Brent Rooker (ATH - DH,OF)",Brent Rooker,Rooker,ATH,"DH,OF",,.260|87R|32HR|94RBI|6SB,48,"Brent Rooker (ATH - DH,OF)",45,52,48.0,"DH,OF","Brent Rooker (ATH - DH,OF)",https://images.fantasypros.com/images/players/mlb/7318/headshot/70x70.png,"Brent Rooker (DH,RF - ATH)",,"Brent Rooker (ATH - DH,OF)",Brent Rooker,Rooker,ATH,"DH,OF",,".260|87R|32HR|94RBI|6SB
",0.0,48.0
48,Mookie Betts_LAD,554.0,90.0,22,79.0,9.0,0.267,0.345,148,30.0,3.0,66.0,75.0,0.453,0.798,420,H,https://www.fantasypros.com/mlb/players/mookie-betts.php,,,,,,,,,,,,,,mookie-betts,"Mookie Betts (LAD - OF,SS)",Mookie Betts,Betts,LAD,"OF,SS",,.267|90R|22HR|79RBI|9SB,49,"Mookie Betts (LAD - OF,SS)",51,48,50.0,SS,Mookie Betts (LAD - SS),https://images.fantasypros.com/images/players/mlb/4921/headshot/70x70.png,"Mookie Betts (SS,RF - LAD)",,"Mookie Betts (LAD - OF,SS)",Mookie Betts,Betts,LAD,"OF,SS",,".267|90R|22HR|79RBI|9SB
",1.0,14.0
49,Wyatt Langford_TEX,525.0,82.0,23,72.0,21.0,0.251,0.34,132,27.0,2.0,70.0,139.0,0.448,0.788,340,H,https://www.fantasypros.com/mlb/players/wyatt-langford.php,,,,,,,,,,,,,,wyatt-langford,"Wyatt Langford (TEX - DH,OF)",Wyatt Langford,Langford,TEX,"DH,OF",,.251|82R|23HR|72RBI|21SB,50,"Wyatt Langford (TEX - DH,OF)",54,47,50.0,OF,Wyatt Langford (TEX - OF),https://images.fantasypros.com/images/players/mlb/47238/headshot/70x70.png,"Wyatt Langford (LF,DH,CF - TEX)",,"Wyatt Langford (TEX - DH,OF)",Wyatt Langford,Langford,TEX,"DH,OF",,".251|82R|23HR|72RBI|21SB
",0.0,69.0
50,Jhoan Duran_PHI,,,5,,,,,56,,,,,,,326,P,https://www.fantasypros.com/mlb/players/jhoan-duran.php,68.4,79.0,4.0,31.0,2.92,1.13,22.0,21.0,68.0,0.0,3.0,0.0,10.39,jhoan-duran,Jhoan Duran (PHI - RP),Jhoan Duran,Duran,PHI,RP,,4-3-31SV|2.92|1.13|10.39K9,51,Jhoan Duran (PHI - RP),64,40,52.0,RP,Jhoan Duran (PHI - RP),https://images.fantasypros.com/images/players/mlb/8034/headshot/70x70.png,Jhoan Duran (RP - PHI),,Jhoan Duran (PHI - RP),Jhoan Duran,Duran,PHI,RP,,"4-3-31SV|2.92|1.13|10.39K9
",1.0,88.0
51,Cade Smith_CLE,,,7,,,,,56,,,,,,,338,P,https://www.fantasypros.com/mlb/players/cade-smith.php,71.0,91.0,4.0,30.0,3.03,1.09,24.0,22.0,70.0,0.0,3.0,0.0,11.54,cade-smith,Cade Smith (CLE - RP),Cade Smith,Smith,CLE,RP,,4-3-30SV|3.03|1.09|11.54K9,52,Cade Smith (CLE - RP),61,43,52.0,RP,Cade Smith (CLE - RP),https://images.fantasypros.com/images/players/mlb/45654/headshot/70x70.png,Cade Smith (RP - CLE),,Cade Smith (CLE - RP),Cade Smith,Smith,CLE,RP,,"4-3-30SV|3.03|1.09|11.54K9
",0.0,77.0
52,William Contreras_MIL,528.0,75.0,19,77.0,6.0,0.265,0.351,140,27.0,1.0,70.0,117.0,0.436,0.787,339,H,https://www.fantasypros.com/mlb/players/william-contreras.php,,,,,,,,,,,,,,william-contreras,"William Contreras (MIL - C,DH)",William Contreras,Contreras,MIL,"C,DH",,.265|75R|19HR|77RBI|6SB,53,"William Contreras (MIL - C,DH)",58,50,54.0,"C,DH","William Contreras (MIL - C,DH)",https://images.fantasypros.com/images/players/mlb/7659/headshot/70x70.png,"William Contreras (C,DH - MIL)",,"William Contreras (MIL - C,DH)",William Contreras,Contreras,MIL,"C,DH",,".265|75R|19HR|77RBI|6SB
",1.0,75.0
53,Freddie Freeman_LAD,560.0,86.0,23,88.0,8.0,0.275,0.351,154,33.0,2.0,66.0,120.0,0.462,0.813,395,H,https://www.fantasypros.com/mlb/players/freddie-freeman.php,,,,,,,,,,,,,,freddie-freeman,Freddie Freeman (LAD - 1B),Freddie Freeman,Freeman,LAD,1B,,.275|86R|23HR|88RBI|8SB,54,Freddie Freeman (LAD - 1B),46,64,55.0,1B,Freddie Freeman (LAD - 1B),https://images.fantasypros.com/images/players/mlb/3365/headshot/70x70.png,Freddie Freeman (1B - LAD),"Freddie Freeman remained a model of consistency in 2025, combining a strong batting average, on-base skills, and run production near the top of the Dodgers lineup. The only concerning stat on his profile was a large jump in strikeout rate to 20.4%, the first time since 2016 that it crossed the 20-percent mark. His 2026 projections show only modest age-related regression. If you draft him, you need to bake in lowered expectations regarding his consistency (147 games played each of the last two years) and fewer counting stats. Freeman remains a solid early-round corner infielder in fantasy, even factoring in that he will turn 37 in September, but he is not the pillar that he once was.",Freddie Freeman (LAD - 1B),Freddie Freeman,Freeman,LAD,1B,,".275|86R|23HR|88RBI|8SB
Freddie Freeman remained a model of consistency in 2025, combining a strong batting average, on-base skills, and run production near the top of the Dodgers lineup. The only concerning stat on his profile was a large jump in strikeout rate to 20.4%, the first time since 2016 that it crossed the 20-percent mark. His 2026 projections show only modest age-related regression. If you draft him, you need to bake in lowered expectations regarding his consistency (147 games played each of the last two years) and fewer counting stats. Freeman remains a solid early-round corner infielder in fantasy, even factoring in that he will turn 37 in September, but he is not the pillar that he once was.",1.0,26.0
54,Brice Turang_MIL,565.0,78.0,14,63.0,28.0,0.257,0.327,145,25.0,3.0,59.0,131.0,0.385,0.712,316,H,https://www.fantasypros.com/mlb/players/brice-turang.php,,,,,,,,,,,,,,brice-turang,Brice Turang (MIL - 2B),Brice Turang,Turang,MIL,2B,,.257|78R|14HR|63RBI|28SB,55,Brice Turang (MIL - 2B),49,61,55.0,2B,Brice Turang (MIL - 2B),https://images.fantasypros.com/images/players/mlb/6817/headshot/70x70.png,Brice Turang (2B - MIL),,Brice Turang (MIL - 2B),Brice Turang,Turang,MIL,2B,,".257|78R|14HR|63RBI|28SB
",0.0,105.0
55,Cole Ragans_KC,,,17,,,,,128,,,,,,,375,P,https://www.fantasypros.com/mlb/players/cole-ragans.php,160.1,194.0,11.0,0.0,3.35,1.15,60.0,57.0,28.0,28.0,8.0,0.0,10.91,cole-ragans,Cole Ragans (KC - SP),Cole Ragans,Ragans,KC,SP,,11-8-0SV|3.35|1.15|10.91K9,56,Cole Ragans (KC - SP),56,54,55.0,SP,Cole Ragans (KC - SP),https://images.fantasypros.com/images/players/mlb/6834/headshot/70x70.png,Cole Ragans (SP - KC),,Cole Ragans (KC - SP),Cole Ragans,Ragans,KC,SP,,"11-8-0SV|3.35|1.15|10.91K9
",-1.0,40.0
56,Roman Anthony_BOS,513.0,81.0,18,66.0,10.0,0.263,0.354,135,30.0,2.0,73.0,148.0,0.437,0.791,304,H,https://www.fantasypros.com/mlb/players/roman-anthony.php,,,,,,,,,,,,,,roman-anthony,"Roman Anthony (BOS - DH,OF)",Roman Anthony,Anthony,BOS,"DH,OF",,.263|81R|18HR|66RBI|10SB,57,"Roman Anthony (BOS - DH,OF)",59,53,56.0,OF,Roman Anthony (BOS - OF),https://images.fantasypros.com/images/players/mlb/46323/headshot/70x70.png,"Roman Anthony (CF,RF,DH,LF - BOS)",,"Roman Anthony (BOS - DH,OF)",Roman Anthony,Anthony,BOS,"DH,OF",,".263|81R|18HR|66RBI|10SB
",-1.0,131.0
57,Josh Naylor_SEA,540.0,71.0,22,80.0,15.0,0.259,0.322,140,27.0,1.0,50.0,92.0,0.434,0.756,365,H,https://www.fantasypros.com/mlb/players/josh-naylor.php,,,,,,,,,,,,,,josh-naylor,"Josh Naylor (SEA - 1B,DH)",Josh Naylor,Naylor,SEA,"1B,DH",,.259|71R|22HR|80RBI|15SB,58,"Josh Naylor (SEA - 1B,DH)",52,65,58.0,"1B,DH","Josh Naylor (SEA - 1B,DH)",https://images.fantasypros.com/images/players/mlb/6054/headshot/70x70.png,"Josh Naylor (1B,DH - SEA)",,"Josh Naylor (SEA - 1B,DH)",Josh Naylor,Naylor,SEA,"1B,DH",,".259|71R|22HR|80RBI|15SB
",0.0,53.0
58,Freddy Peralta_NYM,,,22,,,,,138,,,,,,,356,P,https://www.fantasypros.com/mlb/players/freddy-peralta.php,168.1,188.0,11.0,0.0,3.75,1.19,70.0,62.0,30.0,30.0,9.0,0.0,10.07,freddy-peralta,Freddy Peralta (NYM - SP),Freddy Peralta,Peralta,NYM,SP,,11-9-0SV|3.75|1.19|10.07K9,59,Freddy Peralta (NYM - SP),55,63,59.0,SP,Freddy Peralta (NYM - SP),https://images.fantasypros.com/images/players/mlb/7274/headshot/70x70.png,Freddy Peralta (SP - NYM),,Freddy Peralta (NYM - SP),Freddy Peralta,Peralta,NYM,SP,,"11-9-0SV|3.75|1.19|10.07K9
",0.0,61.0
59,CJ Abrams_WSH,548.0,78.0,18,65.0,29.0,0.251,0.3,138,30.0,4.0,38.0,116.0,0.416,0.716,327,H,https://www.fantasypros.com/mlb/players/cj-abrams.php,,,,,,,,,,,,,,cj-abrams,CJ Abrams (WSH - SS),CJ Abrams,Abrams,WSH,SS,,.251|78R|18HR|65RBI|29SB,60,CJ Abrams (WSH - SS),75,49,62.0,SS,CJ Abrams (WSH - SS),https://images.fantasypros.com/images/players/mlb/19879/headshot/70x70.png,CJ Abrams (SS - WSH),,CJ Abrams (WSH - SS),CJ Abrams,Abrams,WSH,SS,,".251|78R|18HR|65RBI|29SB
",2.0,87.0
60,Riley Greene_DET,558.0,80.0,27,86.0,4.0,0.259,0.326,144,26.0,3.0,56.0,172.0,0.463,0.789,312,H,https://www.fantasypros.com/mlb/players/riley-greene-of.php,,,,,,,,,,,,,,riley-greene-of,"Riley Greene (DET - DH,OF)",Riley Greene,Greene,DET,"DH,OF",,.259|80R|27HR|86RBI|4SB,61,"Riley Greene (DET - DH,OF)",53,71,62.0,"DH,OF","Riley Greene (DET - DH,OF)",https://images.fantasypros.com/images/players/mlb/19457/headshot/70x70.png,"Riley Greene (LF,CF,DH - DET)",,"Riley Greene (DET - DH,OF)",Riley Greene,Greene,DET,"DH,OF",,".259|80R|27HR|86RBI|4SB
",1.0,111.0
61,Ben Rice_NYY,469.0,71.0,25,73.0,5.0,0.245,0.323,115,23.0,2.0,54.0,113.0,0.47,0.793,307,H,https://www.fantasypros.com/mlb/players/ben-rice.php,,,,,,,,,,,,,,ben-rice,"Ben Rice (NYY - 1B,C,DH)",Ben Rice,Rice,NYY,"1B,C,DH",,.245|71R|25HR|73RBI|5SB,62,"Ben Rice (NYY - 1B,C,DH)",71,56,64.0,"1B,C,DH","Ben Rice (NYY - 1B,C,DH)",https://images.fantasypros.com/images/players/mlb/47445/headshot/70x70.png,"Ben Rice (1B,DH,C - NYY)",,"Ben Rice (NYY - 1B,C,DH)",Ben Rice,Rice,NYY,"1B,C,DH",,".245|71R|25HR|73RBI|5SB
",2.0,121.0
62,Shea Langeliers_ATH,473.0,70.0,28,75.0,5.0,0.251,0.308,119,24.0,1.0,39.0,120.0,0.487,0.795,298,H,https://www.fantasypros.com/mlb/players/shea-langeliers.php,,,,,,,,,,,,,,shea-langeliers,"Shea Langeliers (ATH - C,DH)",Shea Langeliers,Langeliers,ATH,"C,DH",,.251|70R|28HR|75RBI|5SB,63,"Shea Langeliers (ATH - C,DH)",74,55,64.0,C,Shea Langeliers (ATH - C),https://images.fantasypros.com/images/players/mlb/8246/headshot/70x70.png,"Shea Langeliers (C,DH - ATH)",,"Shea Langeliers (ATH - C,DH)",Shea Langeliers,Langeliers,ATH,"C,DH",,".251|70R|28HR|75RBI|5SB
",1.0,137.0
63,Joe Ryan_MIN,,,26,,,,,151,,,,,,,378,P,https://www.fantasypros.com/mlb/players/joe-ryan.php,175.0,190.0,11.0,0.0,3.82,1.1,74.0,42.0,30.0,30.0,9.0,0.0,9.77,joe-ryan,Joe Ryan (MIN - SP),Joe Ryan,Ryan,MIN,SP,,11-9-0SV|3.82|1.10|9.77K9,64,Joe Ryan (MIN - SP),65,66,66.0,SP,Joe Ryan (MIN - SP),https://images.fantasypros.com/images/players/mlb/43688/headshot/70x70.png,Joe Ryan (SP - MIN),,Joe Ryan (MIN - SP),Joe Ryan,Ryan,MIN,SP,,"11-9-0SV|3.82|1.10|9.77K9
",2.0,37.0
64,Austin Riley_ATL,573.0,82.0,28,89.0,3.0,0.259,0.317,149,29.0,2.0,49.0,165.0,0.466,0.783,325,H,https://www.fantasypros.com/mlb/players/austin-riley.php,,,,,,,,,,,,,,austin-riley,Austin Riley (ATL - 3B),Austin Riley,Riley,ATL,3B,,.259|82R|28HR|89RBI|3SB,65,Austin Riley (ATL - 3B),60,73,66.0,3B,Austin Riley (ATL - 3B),https://images.fantasypros.com/images/players/mlb/6022/headshot/70x70.png,Austin Riley (3B - ATL),,Austin Riley (ATL - 3B),Austin Riley,Riley,ATL,3B,,".259|82R|28HR|89RBI|3SB
",1.0,90.0
65,Josh Hader_HOU,,,8,,,,,47,,,,,,,339,P,https://www.fantasypros.com/mlb/players/josh-hader.php,66.0,90.0,4.0,33.0,3.24,1.08,24.0,25.0,63.0,0.0,3.0,0.0,12.27,josh-hader,Josh Hader (HOU - RP),Josh Hader,Hader,HOU,RP,,4-3-33SV|3.24|1.08|12.27K9,66,Josh Hader (HOU - RP),72,62,67.0,RP,Josh Hader (HOU - RP),https://images.fantasypros.com/images/players/mlb/5047/headshot/70x70.png,Josh Hader (RP - HOU),,Josh Hader (HOU - RP),Josh Hader,Hader,HOU,RP,,"4-3-33SV|3.24|1.08|12.27K9
",1.0,76.0
